Timeline,Error_X,Error_Y,Error_Z,PID_X,PID_Y,PID_Z
10.4241943359375,1.9596370018225207,1.8591427966008531,3.4720095628118983,-13,-13,13
10.478676795959473,1.7617404072609275,2.063753048505658,3.372629766613045,13,-13,13
10.527859926223755,1.464702126025707,2.0202787945182163,3.179658904175163,13,13,13
10.825362920761108,-0.9736487215302891,-3.7408608774584797,2.349746751496035,13,24.495934997456907,13
10.870908260345459,-1.118333840819208,-3.761668373664609,2.812474049017773,13,13,-13
10.931795358657837,-0.950139380157736,-3.100454819462086,3.741747227502472,13,13,-13
10.975460767745972,-0.863993418519662,-2.4903339710272614,2.823964950904717,13,-13,13
11.226716756820679,-0.7789526866377635,-2.4926485972408434,1.5785485021677346,13,13,13
11.27152419090271,-0.5649016456606811,-2.9785723134835913,2.225968057430336,-13,17.26945095687883,-13
11.324482679367065,-0.402219874220523,-3.1674815094866187,3.437830187738953,-13,13,-13
11.368569374084473,0.0,-2.6855522314424896,1.899110377446135,-13,13,13
11.42328405380249,0.20554784308419413,-2.877669803178718,2.189669132570401,-13,13,-13
11.631486177444458,1.4268026174908863,-0.6114868360675227,2.6731091186697427,-13,-13,-13
11.730182409286499,1.8210706583055571,1.0926423949833344,1.465585983035659,-13,-13,13
11.774641752243042,1.9845635205779928,1.0445071160936805,1.2464747197304717,-13,13,13
11.838975429534912,2.1043696303338066,0.9995755744085582,0.8146041468616829,-13,13,13
12.073178052902222,1.0992856817882446,-2.9314284847686523,1.1096956184868958,13,21.913390191628118,13
12.126351833343506,0.7791963917448906,-2.960946288630584,1.560270619133206,13,13,-13
12.171654224395752,0.5222535580468403,-2.9246199250623057,1.2464747197304717,13,13,13
12.229107856750488,0.16019703799968335,-2.242758531995567,-0.07388924988124757,13,-13,13
12.278501033782959,-0.26445213947455304,-2.2213979715862457,0.4982686182255591,13,13,-13
12.323203325271606,-0.9495921438262922,-0.6858165483189888,0.6504910108567401,13.42889594909671,-19.667174670312022,-13
12.379328727722168,-1.2270001112235187,-0.6935218019959021,-0.01630978810690209,13,13,13
12.517714023590088,-1.635838468327262,0.3693828799448656,0.6348942945751688,13,-13,-13
12.579625844955444,-2.2491786488266223,-0.6426224710933207,-0.24585666499881853,13,18.297836729049596,13
12.635939359664917,-2.2683094386426457,-1.0261399841478636,-0.7582885350708679,13,13,13
12.73212742805481,-2.1184994931402668,-0.4133657547590765,1.87044073700487,13,13,-13
12.781146049499512,-1.9551927562730274,-0.8146636484470947,-1.0997736335321022,13,13,13
12.83211898803711,-1.7894972784048855,-1.1387709953485636,-1.0055890365301892,13,13,13
12.931461572647095,-1.454123389522529,-0.6518484159928578,3.5900409236949997,13,13,-13
